project_id,company_id,project_name,start_date,completion_date,project_status,automation_type,robots_deployed,budget_usd,annual_savings_usd,roi_percent,department,implementation_partner,country,industry,employee_hours_saved,ai_enabled,cloud_deployment
PRJ000001,CMP04872,Prism Automation Initiative,2017-04-23,,Active,Customer Onboarding,27,10889,17248,158.4,Content Moderation,Cyient,Vietnam,Government & Public Sector,69944,Yes,Yes
PRJ000002,CMP04395,Sentinel Process Reengineering,2023-07-29,2024-03-16,Completed,Claims Processing,44,1069470,579652,54.2,Customer Onboarding,Tech Mahindra,South Africa,Mining & Metals,31856,No,Yes
PRJ000003,CMP01477,Sentinel Task Automation,2021-03-10,2022-12-22,Completed,Email Automation,18,43509,23494,54.0,Finance & Accounting,EXL Service,United States,Nonprofit & NGO,5935,No,Yes
PRJ000004,CMP00578,Robust Automation Platform,2023-12-30,2024-12-15,Completed,Order Processing,6,99001,107812,108.9,Finance & Accounting,Birlasoft,Italy,Banking & Financial Services,9491,Yes,Yes
PRJ000005,CMP02586,Nexus Automation Platform,2024-09-08,,Active,Customer Onboarding,21,122055,255949,209.7,Sales & Marketing,Capgemini,Denmark,Aerospace & Defense,26693,Yes,Yes
PRJ000006,CMP00868,Phantom Workforce Digitization,2017-06-18,2018-02-28,Completed,HR Onboarding,14,121789,547928,449.9,Fraud Detection,Tata Consultancy Services,New Zealand,Professional Services & Consulting,81217,No,Yes
PRJ000007,CMP01179,Unified Hyperautomation,2020-08-19,2020-10-07,Completed,IT Helpdesk,36,425952,2129760,500.0,IT & Technology,Aricent,United Kingdom,Insurance,411719,No,Yes
PRJ000008,CMP00683,Apex Bot Operations,2023-02-16,2024-08-12,Completed,Process Automation,31,220550,451024,204.5,Data Entry,HCL Technologies,Malaysia,Life Sciences,72462,Yes,Yes
PRJ000009,CMP02316,Scalable Task Automation,2024-07-08,,Active,Data Extraction & Migration,38,54618,74444,136.3,Inventory Management,EXL Service,Poland,Aerospace & Defense,82296,Yes,Yes
PRJ000010,CMP00730,Streamlined Operational Excellence,2015-05-26,,Active,Inventory Management,6,81069,171785,211.9,Order Processing,Maveric Systems,India,Transportation & Logistics,3879,Yes,Yes
PRJ000011,CMP02591,End-to-End Automation Platform,2021-03-02,2027-07-22,Planned,Data Validation,27,128296,42850,33.4,Risk Management,Accenture,Switzerland,Retail & E-Commerce,10372,No,Yes
PRJ000012,CMP01848,Hyper Bot Operations,2024-01-09,2025-10-28,Completed,Financial Reconciliation,50,1539943,7266991,471.9,Human Resources,Tech Mahindra,Kuwait,Insurance,587805,Yes,No
PRJ000013,CMP04699,Horizon End-to-End Automation,2020-05-25,2021-12-13,Completed,Customer Onboarding,15,63144,30435,48.2,Product Management,EY,Poland,Banking & Financial Services,2382,No,Yes
PRJ000014,CMP03481,Advanced Efficiency Enhancement,2024-01-05,2024-06-20,Completed,Front Office Automation,17,44769,119712,267.4,Supply Chain & Procurement,Wipro,Austria,Professional Services & Consulting,93635,No,Yes
PRJ000015,CMP00980,Advanced RPA Deployment,2019-04-30,2020-08-07,Completed,Customer Onboarding,17,138369,105298,76.1,Inventory Management,PwC,Brazil,FMCG & Consumer Goods,8743,Yes,Yes
PRJ000016,CMP02366,Unified Process Mining,2018-11-02,2020-05-26,Completed,IT Helpdesk,26,42310,37486,88.6,Research & Development,DXC Technology,Italy,Chemical & Materials,16041,Yes,Yes
PRJ000017,CMP00619,Comprehensive Process Optimization,2018-03-31,2019-07-14,Completed,Data Validation,16,208208,674385,323.9,Quality Assurance,EY,Kenya,Real Estate,128457,No,No
PRJ000018,CMP02717,Comprehensive Smart Operations,2022-09-28,2023-04-01,Completed,Regulatory Reporting,37,92426,49910,54.0,Supply Chain & Procurement,EY,Spain,Oil & Gas,11955,Yes,Yes
PRJ000019,CMP00436,Accelerated Digital Workforce,2018-11-24,2019-08-10,Completed,Process Automation,44,151989,283459,186.5,Finance & Accounting,Aricent,Qatar,Professional Services & Consulting,123518,Yes,Yes
PRJ000020,CMP04186,Robust Bot Operations,2020-08-06,2020-11-19,Completed,Front Office Automation,9,573808,475686,82.9,KYC & AML Compliance,Infosys,Japan,Telecommunications,7818,No,Yes
PRJ000021,CMP02563,Accelerated End-to-End Automation,2018-05-04,2019-06-17,Completed,HR Onboarding,32,111182,151429,136.2,Content Moderation,Virtusa,Poland,Energy & Utilities,32281,Yes,Yes
PRJ000022,CMP04533,Robust Process Reengineering,2017-07-04,2017-08-30,Completed,Quality Control,36,62735,78481,125.1,Payroll,Oracle Consulting,Malaysia,Professional Services & Consulting,57111,No,No
PRJ000023,CMP02668,Unified Process Automation,2016-07-17,,Active,Email Automation,23,108652,299553,275.7,Procurement,McKinsey & Company,Colombia,Chemical & Materials,85211,No,No
PRJ000024,CMP02525,Digital Efficiency Enhancement,2019-06-27,2020-11-17,Completed,Contract Analysis,17,45958,96741,210.5,Inventory Management,Wipro,United Kingdom,Agriculture & Food Processing,84772,Yes,Yes
PRJ000025,CMP00040,Digital End-to-End Automation,2021-02-11,2024-07-08,Planned,Document Processing,50,328498,855737,260.5,Fraud Detection,HCL Technologies,Japan,FMCG & Consumer Goods,183682,Yes,No
PRJ000026,CMP01478,Optimized Workforce Digitization,2015-05-24,,Active,Quality Control,12,86175,267142,310.0,Supply Chain & Procurement,Birlasoft,China,Oil & Gas,58624,Yes,Yes
PRJ000027,CMP03244,Agile Process Reengineering,2019-07-31,2020-01-20,Completed,Customer Onboarding,13,92879,207956,223.9,Inventory Management,Mphasis,United Arab Emirates,Energy & Utilities,56541,Yes,No
PRJ000028,CMP01844,Strategic Hyperautomation,2023-01-10,2026-07-22,Planned,Data Validation,37,156360,73801,47.2,Tax,Cognizant,United States,Hospitality & Travel,23762,Yes,Yes
PRJ000029,CMP04089,Robust Efficiency Enhancement,2015-10-20,2027-01-18,Planned,Lead Generation,48,65081,93976,144.4,Finance & Accounting,Deloitte,Taiwan,Telecommunications,115929,No,Yes
PRJ000030,CMP00338,Seamless End-to-End Automation,2017-07-18,,Active,Back Office Automation,37,251482,264056,105.0,Invoice Processing,WNS Global Services,India,Education,10129,Yes,Yes
PRJ000031,CMP04361,Nova Operational Excellence,2015-01-22,2020-05-18,Planned,Order Processing,5,27372,61669,225.3,Procurement,EY,Poland,Professional Services & Consulting,18220,Yes,Yes
PRJ000032,CMP02774,Scalable Digital Transformation,2023-01-25,2024-08-29,Completed,Compliance Monitoring,2,65709,58743,89.4,Content Moderation,Zensar Technologies,Canada,Healthcare & Pharmaceuticals,1460,Yes,Yes
PRJ000033,CMP04387,Vanguard End-to-End Automation,2023-03-16,,Active,Financial Reconciliation,47,489474,324031,66.2,Quality Assurance,KPMG,Australia,Banking & Financial Services,71259,Yes,Yes
PRJ000034,CMP04355,Next-Gen Task Automation,2022-03-18,,Active,Quality Control,39,144159,270874,187.9,KYC & AML Compliance,EXL Service,South Korea,Retail & E-Commerce,86587,No,Yes
PRJ000035,CMP01159,Apex Efficiency Enhancement,2018-09-12,,Active,Supply Chain Optimization,46,20885,21553,103.2,Healthcare Administration,SAP Consulting,Italy,Agriculture & Food Processing,65076,No,No
PRJ000036,CMP04566,Hyper Intelligent Workflow,2020-07-03,2022-07-15,Planned,Customer Onboarding,27,52387,36094,68.9,Facilities Management,Oracle Consulting,Saudi Arabia,Real Estate,18671,Yes,Yes
PRJ000037,CMP02635,Automated End-to-End Automation,2022-10-14,,Active,Compliance Monitoring,25,326960,315516,96.5,Sales & Marketing,Oracle Consulting,Portugal,Government & Public Sector,29065,No,Yes
PRJ000038,CMP01380,Unified Task Automation,2019-09-02,2021-03-01,Planned,Order Processing,37,127728,135391,106.0,Audit,KPMG,United States,Life Sciences,85757,No,No
PRJ000039,CMP01592,End-to-End Intelligent Automation,2018-11-22,2027-02-13,Planned,HR Onboarding,12,22722,54328,239.1,Tax,Wipro,Saudi Arabia,Nonprofit & NGO,65000,No,Yes
